quarter,scheme_code_reg,fund_name,benchmark,net_alpha,gross_alpha,label,expense_gap_q,expense_gap_ann,ret_regular,bm_return,sharpe_4q,beta_4q,info_ratio_4q,win_rate_4q,ret_mean_4q,ret_std_4q,alpha_mean_4q,alpha_std_4q,sharpe_8q,beta_8q,info_ratio_8q,win_rate_8q,ret_mean_8q,ret_std_8q,alpha_mean_8q,alpha_std_8q,sharpe_12q,beta_12q,info_ratio_12q,win_rate_12q,ret_mean_12q,ret_std_12q,alpha_mean_12q,alpha_std_12q,rolling_sharpe,rolling_beta,info_ratio,win_rate,ret_mean,ret_std,recent_alpha,avg_exp_gap,std_exp_gap,alpha_consistency_12q,net_alpha_lag1,net_alpha_lag2,gross_alpha_lag1,rolling_sharpe_lag1,info_ratio_lag1,win_rate_lag1,repo_rate,cpi_yoy,gdp_growth,repo_change,rate_regime,yield_slope,fii_net_eq_cr,dii_net_eq_cr,fii_momentum,dii_momentum,aum_log,aum_change,future_alpha_3q,sebi_category_flexi_cap,sebi_category_focused,sebi_category_large_cap,sebi_category_mid_cap,sebi_category_multi_cap,sebi_category_other_equity,sebi_category_small_cap,sebi_category_value_contra
2020Q2,100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,niftymid150_tri,-0.02056025100616508,-0.018294064566048485,0,0.002266186440116596,0.009095605945645957,0.2035906163446457,0.2218846809106942,-0.879577800208242,1.1816555961545665,-0.06955593554799605,0.5,-0.06068598080124997,0.1607270687925841,-0.003312624518356018,0.0476253319326025,-0.724657346300987,1.1352492815526574,-0.004153817826635481,0.5,-0.030555460731723733,0.11193003407400492,-0.00016726423466053306,0.04026759035699313,0.6450280778485715,,-0.01102394803692178,0.5,,,,,-0.724657346300987,1.1352492815526574,-0.004153817826635481,0.5,-0.030555460731723733,0.11193003407400492,-0.003312624518356018,0.002452415492624035,0.000298841340482905,0.5,-0.0019112973333498253,-0.0011516258324693251,0.0008433700749852502,0.5186129103055857,-0.018272722721320918,,4.0,6.62343677628535,3.87143694070356,-1.1500000000000004,0,1.8551,29727.540242680378,26412.430358715494,34389.2838160807,39348.37123889538,4.0943445622221,0.0,0.04008231341916737,False,False,False,True,False,False,False,False
2020Q3,100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,niftymid150_tri,0.07518715226734338,0.0776217595569926,1,0.0024346072896492196,0.009774050792373368,0.1301153376954642,0.0524935781384716,-0.23004249042934535,1.0603567770558853,-0.41105643601609754,0.25,-0.014178848135886019,0.21021201857760488,-0.016573403065115438,0.04031904530127926,-0.2204317570535372,1.0352883909383295,-0.08788570248916053,0.375,-0.005384027908980334,0.13958086724540283,-0.003562970634248431,0.0405409586922045,0.6450280778485715,,-0.01102394803692178,0.5,,,,,-0.2204317570535372,1.0352883909383295,-0.08788570248916053,0.375,-0.005384027908980334,0.13958086724540283,-0.016573403065115438,0.002429136861060605,0.00028439986517673333,0.5,-0.02056025100616508,-0.0011516258324693251,-0.018294064566048485,-0.724657346300987,-0.004153817826635481,0.5,4.0,6.62343677628535,3.87143694070356,0.0,0,2.024675,60150.57453470609,47510.28719317883,44939.05738869323,36961.35877594716,4.204692619390966,0.11034805716886531,0.0051043355017671875,False,False,False,True,False,False,False,False
2020Q4,100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,niftymid150_tri,0.020463022113918226,0.023007706620534696,0,0.0025446845066164694,0.010217656495421945,0.22820833639999,0.2052006297794553,0.16685239759040082,1.090063398459403,0.28171697771555704,0.5,0.028371134617991213,0.22020821856081163,0.015137289308789013,0.053732257926154436,0.07098718547634379,1.0658835310314658,0.1265509191124964,0.5,0.01520430801574116,0.1466266898967413,0.006293698690506206,0.049732540345372556,0.6450280778485715,,-0.01102394803692178,0.5,,,,,0.07098718547634379,1.0658835310314658,0.1265509191124964,0.5,0.01520430801574116,0.1466266898967413,0.015137289308789013,0.002369104038480689,0.0002075175841870561,0.5,0.07518715226734338,-0.02056025100616508,0.0776217595569926,-0.2204317570535372,-0.08788570248916053,0.375,4.0,6.62343677628535,3.87143694070356,0.0,0,1.8929,38032.514359328765,26302.41613459856,49091.54444701743,36906.35166388869,4.143134726391533,-0.06155789299943315,0.008934243883831924,False,False,False,True,False,False,False,False
2021Q1,100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,niftymid150_tri,0.024596765876240496,0.027312267684864597,0,0.0027155018086241003,0.010906331085206,0.0809779677606215,0.0536657000757569,0.473009373857301,1.0847016880923017,0.20750744937432278,0.5,0.067513167817738,0.2431798226268926,0.010709288428599813,0.05160917577123375,0.42643019874815946,1.0719253845538583,0.32570613834780116,0.625,0.04495677718092846,0.1639507581008501,0.014774189963225718,0.04536048979049111,0.6450280778485715,,-0.01102394803692178,0.5,,,,,0.42643019874815946,1.0719253845538583,0.32570613834780116,0.625,0.04495677718092846,0.1639507581008501,0.010709288428599813,0.0023451737862857478,0.00016604068961369094,0.5,0.020463022113918226,0.07518715226734338,0.023007706620534696,0.07098718547634379,0.1265509191124964,0.5,4.0,5.13140747176369,-5.77772470686801,0.0,0,2.350775,-7858.051066395257,25985.268875438866,15087.231646466753,26143.84250501871,4.127134385045092,-0.016000341346440905,0.007269592407904542,False,False,False,True,False,False,False,False
2021Q2,100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,niftymid150_tri,-0.02974678148485716,-0.02717660760130311,0,0.0025701738835540514,0.010320398252757323,0.1022599183251105,0.1294365259264136,4.462726828674742,0.674954504940011,0.6978053710645528,0.75,0.16072306455018037,0.06754751986239736,0.027411917324085853,0.039283041462216006,0.48679213691543816,1.0845536912850446,0.276209666584349,0.625,0.0500185418744652,0.16441737176792942,0.012049646402864917,0.0436249989070719,0.34507613111980145,1.0746428408130122,0.2230733426598904,0.5833333333333334,0.03320404769557763,0.13448654139177066,0.009025796284921596,0.040461115511604674,0.48679213691543816,1.0845536912850446,0.276209666584349,0.625,0.0500185418744652,0.16441737176792942,0.027411917324085853,0.002361789335787557,0.00019696276831170114,0.5833333333333334,0.024596765876240496,0.020463022113918226,0.027312267684864597,0.42643019874815946,0.32570613834780116,0.625,4.0,5.13140747176369,-5.77772470686801,0.0,0,2.267675,-7099.165686165383,21729.90355327464,-7478.60837628032,23857.58621435675,4.127134385045092,0.0,0.0012166275825250446,False,False,False,True,False,False,False,False
2021Q3,100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,niftymid150_tri,0.031952747260112435,0.03443934669467261,1,0.0024865994345601716,0.009983558337295362,0.1374159695562522,0.1029766228615796,3.8541636701783477,0.7261344842806029,0.5883085627284667,0.75,0.13539039004529654,0.06506749623297353,0.025191281565272193,0.04281984516499245,0.6143137372606495,1.0752532466941869,0.09681500555403288,0.5,0.06060577095470526,0.16475545925561338,0.004308939250078379,0.044506935938495,0.4655870981661832,1.0502649059701166,0.1440962862885929,0.5,0.04154077807577863,0.13548819630100958,0.006021780098925112,0.041789974287504,0.6143137372606495,1.0752532466941869,0.09681500555403288,0.5,0.06060577095470526,0.16475545925561338,0.025191281565272193,0.002388342389953379,0.00021021336313894622,0.5,-0.02974678148485716,0.024596765876240496,-0.02717660760130311,0.48679213691543816,0.276209666584349,0.625,4.0,5.13140747176369,-5.77772470686801,0.0,0,2.1883,-7929.996820537161,24153.32426906561,-7514.581253351272,22941.613911170127,4.158883083359672,0.031748698314580714,-0.027136441795142505,False,False,False,True,False,False,False,False
2021Q4,100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,niftymid150_tri,0.01960281144845835,0.0219254216372155,0,0.002322610188757149,0.0093228580101139,0.0202511496285815,-0.001674272008634,3.9159794728847936,0.9286572253634932,0.5120662688828204,0.75,0.13721554801049354,0.06497253057191199,0.014395678349692197,0.028112920581743025,0.9033036071204313,1.0620051671128719,0.3719357963961281,0.625,0.08279334131424237,0.16117137303656828,0.014766483829240605,0.03970170113315376,0.6756219281570934,1.056958840900432,0.21168213465611696,0.5833333333333334,0.055874721347325296,0.13579997757757398,0.008994358576901536,0.04248992760543114,0.9033036071204313,1.0620051671128719,0.3719357963961281,0.625,0.08279334131424237,0.16117137303656828,0.014395678349692197,0.0024216254937330754,0.00020067504546260453,0.5833333333333334,0.031952747260112435,-0.02974678148485716,0.03443934669467261,0.6143137372606495,0.09681500555403288,0.5,4.0,5.13140747176369,-5.77772470686801,0.0,0,2.44032,-6396.682586380176,28448.49096733412,-7163.339703458669,26300.907618199864,4.143134726391533,-0.01574835696813981,-0.05190351710637218,False,False,False,True,False,False,False,False
2022Q1,100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,niftymid150_tri,-0.04790567596099565,-0.0456355039674899,0,0.0022701719935057487,0.00911165688483151,-0.0695588107826991,-0.0239233068152092,3.059704762624411,0.7445514642702376,0.5043345314884021,0.75,0.08522625131764143,0.049172228795772675,0.0141251071038624,0.028007416153274498,0.8158725946553965,1.063163158845465,0.3226590983930624,0.625,0.07636970956768971,0.1626962592014077,0.012417197766231106,0.038483953584673165,0.7180626325536811,1.0498563990199157,0.37298365154320223,0.6666666666666666,0.05837993522649946,0.1347512961493165,0.014557829010104611,0.03903074290219499,0.8158725946553965,1.063163158845465,0.3226590983930624,0.625,0.07636970956768971,0.1626962592014077,0.0141251071038624,0.002430607246637713,0.00019341134747088133,0.6666666666666666,0.01960281144845835,0.031952747260112435,0.0219254216372155,0.9033036071204313,0.3719357963961281,0.625,4.0,6.69903414079852,9.68959249192875,0.0,0,2.819825,-34084.874473747506,45356.11906109666,-20240.77853006384,36902.30501421539,4.127134385045092,-0.016000341346440905,-0.03471128943171898,False,False,False,True,False,False,False,False
2022Q2,100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,niftymid150_tri,-0.05310646087289021,-0.05095931007907749,0,0.0021471507938127217,0.008616304331357183,-0.161084975235611,-0.1101256651565335,0.7933458808201278,1.1121949818539993,-0.10711961132915226,0.5,0.04759205668181128,0.09224742339112908,-0.004111835809226226,0.03838546236497782,1.93625550527276,0.976341158571391,0.29338985722732136,0.625,0.10415756061599582,0.09622445009174833,0.011650040757429814,0.039708396423545234,0.5468991867171799,1.0836147183097384,0.16272936869215004,0.5833333333333334,0.04920971347691389,0.13973220075996723,0.006662485665501202,0.04094212199707622,1.93625550527276,0.976341158571391,0.29338985722732136,0.625,0.10415756061599582,0.09622445009174833,-0.004111835809226226,0.0024513169431729384,0.00015938023206741084,0.5833333333333334,-0.04790567596099565,0.01960281144845835,-0.0456355039674899,0.8158725946553965,0.3226590983930624,0.625,4.4,6.69903414079852,9.68959249192875,0.4000000000000003,1,3.129625,-21722.128420955043,31744.82990194435,-27903.501447351275,38550.474481520505,4.143134726391533,0.016000341346440905,0.001506793149060097,False,False,False,True,False,False,False,False
2022Q3,100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,niftymid150_tri,-0.05469841448523068,-0.052566484568698404,0,0.0021319299165322757,0.008555029197354846,0.1111193366893692,0.1636858212580676,-0.4980503250532077,1.4290167314999465,-0.2259947727273772,0.5,-0.0182441667083691,0.12747373151489386,-0.01005751142866982,0.04450329229872247,0.7235480977317232,1.2070392088126982,0.1696423308887339,0.625,0.058573111668463726,0.12458912354207008,0.007566885068301188,0.04460493456237762,0.2733380118871859,1.1275223356027102,-0.011154712399562646,0.5,0.03432245840034715,0.15235684386949552,-0.0004798776428376871,0.04302017171294368,0.7235480977317232,1.2070392088126982,0.1696423308887339,0.625,0.058573111668463726,0.12458912354207008,-0.01005751142866982,0.002436437487384954,0.00018294689558736774,0.5,-0.05310646087289021,-0.04790567596099565,-0.05095931007907749,1.93625550527276,0.29338985722732136,0.625,5.4,6.69903414079852,9.68959249192875,1.0,1,1.880374,-32734.71069431088,36349.78591202328,-27228.41955763296,34047.30790698381,4.158883083359672,0.01574835696813981,0.010951657361021244,False,False,False,True,False,False,False,False
